English,Spanish
ace up one's sleeve,"as en la manga, tener un as en la manga, tener un as bajo la manga"
Achaea,Acaya
Achaean,aqueo
Achaemenid,aqueménida
a chain is only as strong as its weakest link,una cadena es tan fuerte como su eslabón más débil
ache,"doler, sufrir"
ache,dolor
ache for,"anhelar, ansiar"
achene,aquenio
Acheron,"Aqueronte, Aquerón"
achieve,"conseguir, lograr"
achieve,"lograr, realizar"
achievement,logro
achievement,"realización, logro"
Achilles,Aquiles
Achilles heel,talón de Aquiles
Achilles tendon,"tendón aquíleo, tendón de Aquiles, tendón calcáneo"
aching,adolorido
achondrite,acondrita
achondritic,acondrítico
achondroplasia,acondroplasia
achoo,achís
achromatic,acromático
achromatism,acromatismo
achromotrichia,acromotriquia
acid,"agrio, ácido"
acid,malhumorado
acid,ácido
acidic,ácido
acidification,acidificación
acidify,acidificar
acidimeter,acidímetro
acidimetry,acidimetría
acidity,acidez
acidophile,acidófilo
acidophilia,acidofilia
acidosis,acidosis
acid rain,lluvia ácida
acid test,"prueba de fuego, prueba del algodón"
acinaces,acinaces
acknowledge,reconocer
acknowledge,acusar recibo
acknowledged,"reconocido, aceptado, admitido"
acknowledgment,reconocimiento
aclinic,aclínico
a closed mouth catches no flies,en boca cerrada no entran moscas
a closed mouth gathers no feet,en boca cerrada no entran moscas
acme,"acmé, apogeo, cúspide"
acme,acmé
acne,acné
acne mechanica,acné mecánico
acoelomate,acelomado
Acoetes,Acetes
acolyte,ayudante
aconite,acónito
acorn,bellota
acorn game,juego de las bolletas
acorn squash,calabaza bellota
acorn woodpecker,carpintero bellotero
A Coruña,La Coruña
acotyledon,acotiledón
acotyledonous,acotiledóneo
acoustic,acústico
acoustical,acústico
acoustically,acústicamente
acoustic guitar,guitarra acústica
acoustics,acústica
acqua alta,acqua alta
acquaint,dar a conocer
acquaint,familiarizar
acquaintance,"amistad, conocimiento, junta, relación, trato"
acquaintance,"conocido, conocida"
acquainted,conocido
acquiesce,conformarse
acquiesce,consentir
acquiescence,"aquiescencia, consentimiento"
acquiescence,perención
acquiescent,aquiescente
acquirable,adquirible
acquire,obtener
acquire,adquirir
acquired immune deficiency syndrome,síndrome de inmunodeficiencia adquirida
acquis communautaire,Acervo comunitario
acquisition,adquisición
acquisitive,"adquisitivo, codicioso"
acquisitor,"adquirente, adquiriente"
acquit,absolver
acquit,"absolver, exculpar"
acquit,exculpar
acquittal,absolución
acrasia,acrasia
acre,acre
Acre,Acre
acreage,superficie medida en acres
acrid,acre
acrid,"acre, mordaz"
acrimonious,"áspero, cáustico, sarcástico"
acrimoniously,enconadamente
acrimony,acrimonia
acritarch,acritarco
acrobat,"acróbata, saltimbanqui, equilibrista"
acrobatic,acrobático
acrobatics,acrobacia
acrocyanosis,acrocianosis
acrolect,acrolecto
acrolein,acroleína
acromegalic,acromegálico
acromegaly,acromegalia
acromial,"acromial, acromiano"
acromion,acromion
acronym,sigla
acronym,acrónimo
acronymization,acronimia
acropolis,acrópolis
Acropolis,Acrópolis
across,a través
across,al otro lado de
across,"a través, atravesado"
across the board,generalizado
across the pond,al otro lado del charco
acrostic,acróstico
acrostical,acróstico
acrylamide,acrilamida
acrylate,acrilato
acrylic,acrílico
acrylic acid,ácido acrílico
acrylic resin,acrílico
acrylonitrile,acrilonitrilo
act,acto
act,ley
act,"acto, acción"
act,hecho
act,actuar
act,comportarse
actant,actante
actin,actina
acting,"interino, en funciones, suplente"
acting,actuación
actinic,actínico
actinide,actínido
actinism,actinismo
actinium,actinio
actinobiology,actinobiología
actinolite,actinolita
actinometer,actinómetro
actinometric,actinométrico
actinomycosis,actinomicosis
action,acción
action at a distance,acción a distancia
action figure,figura de acción
action movie,película de acción
action plan,plan de acción
actions speak louder than words,"obras son amores, que no buenas razones"
actions speak louder than words,por sus frutos los conoceréis
activate,activar
activated carbon,"carbón activado, carbón grafitizado"
activation,activación
activator,activador
active,activo
active ingredient,principio activo
actively,"activamente, enérgicamente"
actively,activamente
active voice,voz activa
active volcano,volcán activo
activism,activismo
activist,activista
activity,actividad
act of God,"fuerza mayor, caso fortuito, cosa de Dios"
actogram,actograma
actomyosin,actomiosina
act one's age,comportarse
actor,"actor, actriz [actress]"
actress,actriz
Acts of the Apostles,"Hechos, Actos de los Apóstoles"
actual,"real, existente, verdadero, efectivo"
actual,"actual, real"
actuality,realidad
actually,"en realidad, de hecho, realmente, de veras, [obsolete] de vero (not: actualmente)"
actuarial,actuarial
actuary,actuario
actuator,activador
acuity,"acuidad, agudeza"
acumen,"perspicacia, acumen, cacumen, pesquis"
acuminate,acuminado
acupuncture,acupuntura
acupuncturist,"acupuntor, acupunturista"
acute,"agudo, perspicaz, sagaz"
acute,grave
acute,agudo
acute abdomen,abdomen agudo
acute accent,"tilde, acento agudo"
acute angle,ángulo agudo
acutely,intensamente
acute-phase protein,reactante de fase aguda
acute triangle,triángulo agudo
acyl,"acil, acilo"
acylation,acilación
acylglycerol,acilglicerol
AD,d.C. (después de Cristo)
adage,"adagio, refrán, dicho"
adagietto,adagietto
Adam,"Adam, Adán"
Adam,Adán
Adam and Eve,Adán y Eva
adamant,"firme, categórico, inflexible, impenetrable, obstinado, acérrimo"
adamant,adamantino
adamantane,adamantano
adamantly,a machamartillo
Adam's apple,"bocado de Adán, nuez, nuez de Adán, manzana de Adán"
adapt,"adaptar, ajustar"
adapt,adaptarse
adapt,adaptado
adaptability,"adaptabilidad, flexibilidad"
adaptable,"adaptable, amoldable"
adaptation,adaptación
adapter,adaptador
adaptive,adaptativo
adaptive,adaptable
adaptogen,adaptógeno
add,"añadir, apostillar"
add,añadir
add,"adicionar, sumar"
addedly,también
addend,sumando
addendum,adenda
adder,"serpiente, culebra"
adder,víbora
adder,sumador
add fuel to the fire,"echar leña al fuego, echar gasolina al fuego, ya escampa y llovían guijarros, dar pábulo"
addict,"drogadicto, adicto, toxicómano"
addict,"causar adicción en, volver adicto"
addicted,"dependiente, adicto"
addiction,adicción
addictive,"adictivo, que crea dependencia, que produce dependencia, que crea adicción, enviciador"
addictively,adictivamente
add insult to injury,echar leña al fuego
Addis Ababa,Adís Abeba
addition,"adición, añadidura"
addition,adición
addition,"suma, adición"
additional,"adicional, extra, de más"
additionally,"adicionalmente, además"
additive,aditivo
additive group,grupo aditivo
addle,"confundir, enturbiar"
add-on,extensión
address,dirección
address,dirigirse
address,dirigir
address,preparar
address,abordar
address book,"directorio, agenda de direcciones, libreta de direcciones"
address book,agenda
addressee,"destinatario, consignatario"
adduction,aducción
adductor,aductor
Adela,Adela
Adelaide,Adelaida
Adelie penguin,"pingüino adelaida, pingüino de Adelia"
adelita,adelita
Aden,Adén
adenectomy,adenectomía
adenine,adenina
adenitis,adenitis
adenocarcinoma,adenocarcinoma
adenohypophysial,adenohipofisario
adenohypophysis,adenohipófisis
adenoid,adenoide
adenoidectomy,adenoidectomía
adenoma,adenoma
adenomyosis,adenomiosis
adenosine,adenosina
adenosine triphosphate,"trifosfato de adenosina, adenosín trifosfato"
adenylate cyclase,adenilato ciclasa
adept,"experto, hábil"
adept,"experto, experta"
adequacy,cantidad suficiente
adequate,adecuado
adequately,adecuadamente
adermatoglyphia,adermatoglifia
adessive case,caso adesivo
adhan,"llamada a la oración, adhan"
adhere,"pegarse, adherirse"
adhere,"adherirse a, cumplir con"
adherence,adhesión
adherent,adhesivo
adherent,adherente
adhesion,adhesión
adhesive,adhesivo
adhesive capsulitis,capsulitis adhesiva
adhesive tape,"[formal usage] cinta adhesiva, [Spain] celo, [Colombia] cinta pegante, [Argentina, Bolivia, Chile, Ecuador, Paraguay, Peru, Uruguay] cinta Scotch, [Mexico] diurex, [Southern Spain] fixo, [Costa Rica, Nicaragua, Panama, Puerto Rico] tape, [Venezuela] teipe, [Dominican Republic] teipi, cinta escocesa"
adhesive tape,esparadrapo
ad hoc,ad hoc
adhocracy,adhocracia
ad hominem,ad hominem
ad hominem,ataque personal
adiabatic,adiabático
adieu,adiós
Adige,Adigio
adimensional,adimensional
ad infinitum,"al infinito, indefinidamente, sinfín"
adipate,adipato
adipic,adípico
adipic acid,ácido adípico
adipocere,adipocira
adiponectin,adiponectina
adipose,adiposo
adipose fin,aleta adiposa
adipose tissue,tejido adiposo
adiposity,adiposidad
adive,adive
adjacency,adyacencia
adjacent,"adyacente, colindante, contiguo"
Adjara,Ayaria
Adjaran,ayariano
adjectival,"adjetival, adjetivo"
adjective,adjetivo
adjective,adjetivar
adjectivization,adjetivación
adjoin,"lindar con, colindar con"
adjoining,"contiguo, colindante"
adjoint,"matriz de adjuntos, matriz de cofactores"
adjourn,"suspender, posponer, diferir"
adjourn,"aplazar, posponer"
adjourn,suspender
adjournment,suspensión
adjudicate,"adjudicar, juzgar"
adjudicate,juzgar
adjudicator,juez
adjunct,adjunto
adjust,"ajustar, arreglar, regular"
adjust,ajustar
adjust,adaptar
adjustable,"ajustable, regulable, graduable"
adjustable spanner,llave inglesa
adjusted,ajustado
adjustment,"ajuste, modificación"
adjutant,ayudante
adjuvant,adyuvante
ad lib,ad libitum
ad lib,a voluntad
ad lib,improvisado
ad lib,improvisar
ad-lib,improvisar
administer,administrar
administration,administración
administrative,administrativo
administratively,administrativamente
administrator,administrador
administrator,"administrador, albacea"
admirable,"admirable, loable"
admirably,admirablemente
admiral,almirante
admiral of the fleet,Capitán General de la Armada
admiralty,almirantazgo
admiralty law,"derecho marítimo, derecho de la navegación"
admiration,admiración
admire,admirar
admirer,"admirador, admiradora"
admiring,"admirativo, de admiración, admirador"
admiringly,con admiración
admissible,"admisible, aceptable"
admission,admisión
admission,"admisión, confesión"
admit,"admitir, dar entrada"
admit,dejar entrar
admit,"admitir, reconocer"
admit,permitir
admit,ingresar
admittance,admisión
admittance,"entrada, admisión"
admittance,admitancia
admittedly,"la verdad es que, lo cierto es que, es cierto que"
admixture,adición
admixture,mezcla
admonish,"amonestar, reprender"
admonition,admonición
admonitory,admonitorio
adnate,adnato
ad nauseam,"ad náuseam, hasta la náusea"
adnexal,anexial
adobe,adobe
adobe,casa de adobe
adolescence,adolescencia
adolescent,adolescente
adolescent,"adolescente, muchacho, muchacha, chico, chica"
Adolph,Adolfo
Adonis,adonis
adopt,"adoptar, ahijar"
adopt,adoptar
adoptable,adoptable
adoptee,"adoptado, adoptada"
adopter,"adoptante, adoptador"
adoption,adopción
adoptive,adoptivo
adoptive father,padre adoptivo
adoptive mother,madre adoptiva
adorable,"adorable, encantador"
adoration,adoración
adore,adorar
adore,querer
adorer,adorador
adorn,"adornar, ornar, engalanar"
adornment,"adorno, decoración"
adrenal,adrenal
adrenalectomy,adrenalectomía
adrenal gland,glándula adrenal
adrenaline,adrenalina
adrenergic,adrenérgico
adreno,adreno-
adrenocorticotropic,adrenocorticotropo
Adrian,"Adriano, Adrián"
Adriatic,adriático
Adriatic Sea,"mar Adriático, Adriático"
adrift,a la deriva
adroitness,"destreza, habilidad"
ADSL,ADSL
adsorb,adsorber
adsorption,adsorción
adstratum,adstrato
adularia,adularia
adulator,"adulador, aduladora"
adult,"adulto, adulta"
adult,adulto
adult actress,actriz porno
adulterant,adulterante
adulterate,adulterar
adulteration,adulteración
adulterer,"adúltero, adúltera"
adulteress,adúltera
adulterous,adúltero
adultery,adulterio
adulthood,"edad adulta, adultez"
adumbration,"adumbracion, boceto, bosquejo, croquis, esbozo"
adunc,adunco
advance,avanzar
advance,"avance, progreso"
advance,"adelanto, avance"
advanced,avanzado
advanced,"avanzado, provecto"
advance directive,voluntades anticipadas
advancement,"ascenso, progreso"
advancement,avance de herencia
advance payment,adelanto
advantage,ventaja
advantage,"beneficio, provecho"
advantageous,"ventajoso, provechoso, beneficioso"
advantageously,ventajosamente
advection,advección
advent,"advenimiento, venida"
Advent,Adviento
Advent calendar,calendario de adviento
adventitious,exógeno
adventitious,aleatorio
adventitious,adquirido
adventitious,"ectópico, adventicio, auxiliar"
adventure,aventura
adventurer,"aventurero, aventurera"
adventurous,"intrépido, aventurero"
adventurous,"aventurado, arriesgado"
adverb,adverbio
adverbial,adverbial
adverbial clause,expresión adverbial
adverbialization,adverbialización
adverbialize,adverbializar
adverbially,adverbialmente
adverbial participle,gerundio
adverbial phrase,locución adverbial
adversarial,adverso
adversary,"adversario, adversaria"
adverse,"adverso, desfavorable"
adverse,contrario
adverse,opuesto
adversely,adversamente
adversity,adversidad
advertise,anunciar
advertise,hacer publicidad
advertisement,"anuncio, publicidad, reclamo, aviso, aviso publicitario, anuncio publicitario"
advertiser,anunciante
advertising,publicidad
advertising mail,correo directo
advertorial,"publirreportaje, infomercial"
advice,consejo
advice,aviso
advisability,conveniencia
advisable,"aconsejable, recomendable, conveniente"
advise,"aconsejar, asesorar"
advise,notificar
advisor,"consejero, asesor"
advisory,consultivo
advisory opinion,"opinión consultiva, opinión asesora"
advocacy,"apoyo, defensa"
advocacy group,grupo de interés
advocate,"abogado, abogada"
advocate,"portavoz, representante, vocero"
advocate,recomendar
advocate,abogar
adware,"programa publicitario, software publicitario, adware"
Adygea,Adiguesia
Adyghe,adigué
adynamia,adinamia
adynaton,adynaton
adytum,ádyton
adze,azuela
aedile,"edil, regidor"
Aegean,egeo
Aegean Sea,mar Egeo
Aegidius,Egidio
aegis,égida
aemia,-emia
Aeneas,Eneas
Aeneid,Eneida
aeolian,eólico
Aeolian mode,modo eólico
Aeolus,Eolo
aerate,"airear, gasear"
aeration,aireación
aerial,aéreo
aerial,antena
aerial yoga,aeroyoga
aeriferous,aerífero
aero,aero-
aerobe,aerobio
aerobic,aeróbico
aerobics,"aeróbic, aerobic"
aerobiology,aerobiología
aerobiosis,aerobiosis
aerodrome,aeródromo
aerodynamic,aerodinámico
aerodynamical,aerodinámico
aerodynamics,aerodinámica
aerodynamism,aerodinamismo
aerogel,aerogel
aerogram,aerograma
aerography,aerografía
aerology,aerología
aeromancy,aeromancia
